FINLAB AG   NA O.N.;DE0001218063
FINLAB AG   NA O.N.;DE0001218063
B+S BANKSYSTEME AG O.N.;DE0001262152
VIB VERMOEGEN O.N.;DE0002457512
ISHS-EO CO.BD LA.C.UTS DZ;DE0002511243
BAVARIA INDS GRP   O.N.;DE0002605557
ISHARES PFANDBRIEFE U.ETF;DE0002635265
ISHARES DIVDAX UCITS ETF;DE0002635273
IS.EO ST.SEL.DIV.30 U.ETF;DE0002635281
ISH.S.EU.SEL.DIV.30 U.ETF;DE0002635299
ISH.STOX.EUROPE 600 U.ETF;DE0002635307
SOFTWARE AG O.N.;DE0003304002
GERRY WEBER INTERNAT.O.N.;DE0003304101
BMP MEDIA INVESTORS O.N.;DE0003304200
OESTERREICH 86/2016;DE0004782180
ADLER REAL ESTATE AG;DE0005008007
AHLERS AG ST O.N.;DE0005009708
AHLERS AG VZO O.N.;DE0005009732
NESCHEN AG O.N.;DE0005021307
ALEXANDERWERK AG O.N.;DE0005032007
AAP IMPLANTATE AG;DE0005066609
FRITZ NOLS AG O.N.;DE0005070908
DAB BANK AG;DE0005072300
ALLGEIER SE  O.N.;DE0005086300
BAADER BANK AG;DE0005088108
AVW IMMOBILIEN AG INH.;DE0005088900
UTD.INTERNET AG NA;DE0005089031
AMADEUS FIRE AG;DE0005093108
TDMI AG O.N.;DE0005098008
BASLER AG O.N.;DE0005102008
ADVA OPT.NETW.SE  O.N.;DE0005103006
ATOSS SOFTWARE AG;DE0005104400
GBS SOFTWARE AG O.N.;DE0005104509
SYZYGY AG O.N.;DE0005104806
ALL FOR ONE STEEB AG;DE0005110001
ZOOPLUS AG;DE0005111702
PRIMION TECHNOLOGY O.N.;DE0005117006
TELEGATE AG O.N.;DE0005118806
MSG LIFE AG  O.N.;DE0005130108
QSC AG NA O.N.;DE0005137004
DEUTSCHE BANK AG NA O.N.;DE0005140008
DESIGN HOTELS AG;DE0005141006
SINNERSCHRADER O.N.;DE0005141907
DELTICOM AG;DE0005146807
NTT COM SECURITY AG;DE0005155030
GIGASET AG O.N.;DE0005156004
SCHWEIZER ELECTR. NA O.N.;DE0005156236
DR. HOENLE AG O.N.;DE0005157101
BECHTLE AG O.N.;DE0005158703
3U HOLDING AG;DE0005167902
BAUER AG;DE0005168108
ASKNET AG NA O.N.;DE0005173306
SURTECO SE;DE0005176903
SOFTING AG O.N.;DE0005178008
WENG FINE ART AG NA O.N.;DE0005181606
BAY.MOTOREN WERKE AG ST;DE0005190003
BAY.MOTOREN WERKE  VZO;DE0005190037
AMATECH AG O.N.;DE0005192801
BAYWA AG NA.;DE0005194005
BAYWA AG VINK.NA. O.N.;DE0005194062
BBS KRAFTFAHR.TEC.VZO O.N;DE0005196232
J.F.BEHRENS AG O.N.;DE0005198907
LUDW.BECK A.RATHAUSECK;DE0005199905
BEIERSDORF AG O.N.;DE0005200000
BERENTZEN-GRP.VZO O.N.;DE0005201636
QUIRIN BANK AG;DE0005202303
ARTEC TECHNOLOGIES O.N.;DE0005209589
DAHLBUSCH AG ST O.N.;DE0005213003
DAHLBUSCH AG VZ O.N.;DE0005213037
ANALYTIK JENA AG O.N.;DE0005213508
ADCAPITAL AG;DE0005214506
BALDA AG O.N.;DE0005215107
TRADEGATE AG O.N.;DE0005216907
MOBOTIX AG O.N.;DE0005218309
ENBW ENERGIE BAD.-WUE. ON;DE0005220008
NEXUS AG O.N.;DE0005220909
BERL.EFFEKTENGES.AG O.N.;DE0005221303
BETA SYST.SOFTW.AG O.N.;DE0005224406
BIOTEST AG ST O.N.;DE0005227201
BIOTEST AG VZ O.N.;DE0005227235
KWG KOMMUNALE WOHNEN O.N.;DE0005227342
ORBIS AG O.N.;DE0005228779
BIJOU BRIGITTE O.N.;DE0005229504
BERTRANDT AG O.N.;DE0005232805
S+O AGRAR AG O.N.;DE0005236202
BOEWE SYSTEC AG O.N.;DE0005239701
MONINGER HOLDING AG O.N.;DE0005247308
FINTECH GROUP AG;DE0005249601
HEIDEL.BETEIL.HLDG AG;DE0005250005
CASH.MEDIEN AG;DE0005251904
BREMER LAGERH.N.AKT.O.N.;DE0005261606
BRUEDER MANNESM.AG O.N.;DE0005275507
BBI BUERG.BRAUH.IMMO.;DE0005280002
BABCOCK-BSH AG O.N.;DE0005284004
UMT UTD MOB.TECHN.AG;DE0005286108
ABWICKLUNGSG. ROESCH O.N.;DE0005291405
HOMAG GROUP AG;DE0005297204
NAV FRESCO EURO STOXX 50;DE0005303689
NAV FRESCO DJ UK TITANS50;DE0005303697
NAV FRESCO DJ IND. AV.;DE0005303713
NAV FRESCO DJ US TECH.;DE0005303739
ENERGIEKONTOR O.N.;DE0005313506
CARL ZEISS MEDITEC AG;DE0005313704
NANOFOCUS O.N.;DE0005400667
CEWE STIFT.KGAA  O.N.;DE0005403901
INNOTEC TSS AG;DE0005405104
CENIT AG O.N.;DE0005407100
CEOTRONICS AG O.N.;DE0005407407
CENTROTEC SUSTAINABLE O.N;DE0005407506
AAREAL BANK AG;DE0005408116
OEKOWORLD AG  NA VZO;DE0005408686
LEONI AG NA O.N.;DE0005408884
YOUR FAMILY ENTER.AG;DE0005408918
CANCOM SE O.N.;DE0005419105
CEYONIQ AG;DE0005420004
COMDIRECT BANK AG;DE0005428007
COMPUGROUP MED.AG O.N.;DE0005437305
CONTINENTAL AG O.N.;DE0005439004
ONVISTA O.N.;DE0005461602
CTS EVENTIM KGAA;DE0005470306
LANXESS AG;DE0005470405
VARENGOLD BANK AG;DE0005479307
ECOUNION AG;DE0005479604
CREATON AG VZO O.N.;DE0005483036
ALPHAFORM AG O.N.;DE0005487953
ISRA VISION O.N.;DE0005488100
DF DT.FORFAIT AG;DE0005488795
UNITED LABELS O.N.;DE0005489561
MEDISANA AG;DE0005492540
ARTSTOR AG;DE0005492862
